key,title,year,rm_target,rm_id
acolordistributiondescriptorformedicinepackagerecognition,A color distribution descriptor for medicine package recognition,2010,,skip
4kデジタルシネマ無線伝送システムのためのjpeg2000並列化,4K デジタルシネマ無線伝送システムのための JPEG 2000 並列化,2011,published_papers,41076376
aparallelcomputingusingcudaforthe2ddwtofjpeg2000,A parallel Computing using CUDA for the 2D-DWT of JPEG 2000,2011,,skip
facerecognitionunderilluminationchangeusingsparserepresentation,Face Recognition under Illumination Change using Sparse Representation,2011,,skip
illuminationrobustfacerecognitionviasparserepresentation,Illumination-Robust Face Recognition via Sparse Representation,2011,published_papers,29848241
realtime2ddwtofjpeg2000fordigitalcinemausingmultiplegpus,Real Time 2D-DWT of JPEG 2000 for Digital Cinema using Multiple GPUs,2011,,skip
スパース表現を用いた照明変化に頑健な顔認識に関する研究,スパース表現を用いた照明変化に頑健な顔認識に関する研究,2011,,skip
ディジタルシネマの実時間処理に向けたgpgpuによるjpeg2000の高速化,ディジタルシネマの実時間処理に向けたGPGPUによるJPEG2000の高速化,2011,published_papers,39287861
複数のgpuを用いたデジタルシネマ画像の実時間ウェーブレット変換,複数のGPUを用いたデジタルシネマ画像の実時間ウェーブレット変換,2011,,skip
alinearmanifoldcolordescriptorformedicinepackagerecognition,A linear manifold color descriptor for medicine package recognition,2012,published_papers,16869866
localintensitycompensationusingsparserepresentation,Local intensity compensation using sparse representation,2012,published_papers,28625243
motioncompensationusingsparserepresentation,Motion compensation using sparse representation,2012,,skip
onparallel2ddwtofjpeg2000conformedtodigitalcinemainitiativesusinggpgpu,On Parallel 2D-DWT of JPEG 2000 conformed to Digital Cinema Initiatives using GPGPU,2012,,skip
onaconstraintconditionofsparserepresentationforilluminationrobustfacerecognition,On a constraint condition of sparse representation for illumination-robust face recognition,2012,,skip
onsparserepresentationforfacerecognitionunderilluminationchange,On sparse representation for face recognition under illumination change,2012,,skip
videocompressionusingsparserepresentation,Video compression using sparse representation,2012,,skip
暗号領域での認証を用いたjpeg2000画像無線伝送システム,暗号領域での認証を用いたJPEG 2000 画像無線伝送システム,2012,,skip
相互錐制約部分空間法,相互錐制約部分空間法,2012,,skip
aninterpredictionmethodusingsparserepresentationforhighefficiencyvideocoding,An Inter-Prediction Method using Sparse Representation for High Efficiency Video Coding,2013,published_papers,16869863
speakerdiarizationbasedonaudiovisualintegrationforsmartposterboard,Speaker Diarization based on Audio-Visual Integration for Smart Posterboard,2014,published_papers,28109600
speakerdiarizationusingeyegazeinformationinmultipartyconversations,Speaker Diarization using Eye-gaze Information in Multi-party Conversations,2014,published_papers,28053869
speechbasedhumanrobotinteractionrobusttoacousticreflectionsinrealenvironment,Speech-based Human-Robot Interaction Robust to Acoustic Reflections in Real Environment,2014,,skip
スマートポスターボードにおける実環境を想定した複数話者分離,スマートポスターボードにおける実環境を想定した複数話者分離,2014,,skip
スマートポスターボードにおける音響情報と画像情報の統合による話者区間検出,スマートポスターボードにおける音響情報と画像情報の統合による話者区間検出,2014,published_papers,27418436
