id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0028,2026,,"Ryuichi Sumida, Koji Inoue, Tatsuya Kawahara",MemUse: Moving Memory Evaluation from Direct QA to Natural Integration in Long-Term Human-AI Conversation,,,"Conference on Empirical Methods in Natural Language Processing (EMNLP), pp. XXXX-XXXX",Preprint PDF | https://arxiv.org/abs/2608.24189,,,,,,,Conference on Empirical Methods in Natural Language Processing (EMNLP),,,,,,
p0029,2026,,"Bryan Chen Zhengyu Tan, Weihua Zheng, Thong T. Doan, Bich Ngoc Doan, Jia Wang Peh, Xiaoyuan Yi, Jing Yao, Xing Xie, Nancy F. Chen, Zhengyuan Liu, JinYeong Bak, Wafi Shamdi, Soo Kai Chie, Liew Yu Siong, Aina Azyyati Binti Mohamad Rezal, Lew Yan Yan Vanessa, Huadan Wu, Dylan Raharja, Nadya Yuki Wangsajaya, Akane Fukushige, Kazushi Kato, Koji Inoue, Tatsuya Kawahara, Jaehyung Seo, Dongjun Kim, Seungyoon Lee, Zi Haur Pang, Rui Yang Tan, Charibeth Ko Cheng, Maria Regina Justina Estuar, Jann Railey Montalan, Pham Minh Duc, Roy Ka-Wei Lee",CultureConverse: A Multilingual Multi-turn Simulation Harness for Culturally Grounded Assistance in East and Southeast Asia,,,"Conference on Empirical Methods in Natural Language Processing (EMNLP), pp. XXXX-XXXX",Preprint PDF | https://arxiv.org/abs/2608.28405,,,,,,,Conference on Empirical Methods in Natural Language Processing (EMNLP),,,,,,
p0030,2026,,"Soma Iwata, Koji Inoue, Muyun Wu, Taiga Mori, Divesh Lala, Tatsuya Kawahara",Multimodal Temporal Modeling for Continuous Group Emotion Recognition in Multi-party Dialogues,,,"Workshop on Collective States in Multimodal Interaction, International Conference on Multimodal Interaction (ICMI), pp. XXXX-XXXX",,,,,,,,"Workshop on Collective States in Multimodal Interaction, International Conference on Multimodal Interaction (ICMI)",,,,,,
p0031,2026,,"Taiga Mori, Koji Inoue, Mikey Elmers, Divesh Lala, Tatsuya Kawahara",TEIDAN: A Multilingual Multiparty Dialogue Corpus,,,"International Workshop on Cross-Cultural Multimodal Interaction (CCMI), International Conference on Multimodal Interaction (ICMI), pp. XXXX-XXXX",Preprint PDF | https://arxiv.org/abs/2609.00802,,,,,,,"International Workshop on Cross-Cultural Multimodal Interaction (CCMI), International Conference on Multimodal Interaction (ICMI)",,,,,,
p0032,2026,,"Koji Inoue, Kazushi Kato, Tatsuya Kawahara, Shunichi Kasahara",Does Listening Matter? Backchanneling and Nodding in AI Clone,,,"International Conference on Multimodal Interaction (ICMI), Late Breaking Results, pp. XXXX-XXXX",Preprint PDF | https://arxiv.org/abs/2608.19527,,,,,,,"International Conference on Multimodal Interaction (ICMI), Late Breaking Results",,,,,,
p0033,2026,,"Yuki Okafuji, Koji Inoue, Yoshiki Ohira",Low-Latency Turn-Taking via Context-Aware Preface Generation in a Real-World Dialogue Robot,,,"International Conference on Multimodal Interaction (ICMI), Late Breaking Results, pp. XXXX-XXXX",Preprint PDF | https://arxiv.org/abs/2607.23204,,,,,,,"International Conference on Multimodal Interaction (ICMI), Late Breaking Results",,,,,,
p0034,2026,,"Divesh Lala, Koji Inoue, Taiga Mori, Tatsuya Kawahara",Real-time Multimodal Addressee Detection in Multi-party Dialogue,,,"International Conference on Multimodal Interaction (ICMI), pp. XXXX-XXXX (Accepted)",,,,,,,,International Conference on Multimodal Interaction (ICMI),,,,,,
p0035,2026,,"Kazushi Kato, Koji Inoue, Taiga Mori, Divesh Lala, Tatsuya Kawahara",Real-time Generation of Listener Nodding via Prediction of Kinematic Parameters for Avatar Dialogue Systems,,,"International Conference on Multimodal Interaction (ICMI), pp. XXXX-XXXX",Preprint PDF | https://arxiv.org/abs/2607.12329,,,,,,,International Conference on Multimodal Interaction (ICMI),,,,,,
p0036,2026,,"Ryuichi Sumida, Mao Saeki, Masaki Eguchi, Sadahiro Yoshikawa, Koji Inoue, Tatsuya Kawahara, Yoichi Matsuyama",Memory-Driven Self-Disclosure and Relational Turning Points: A Longitudinal Multimodal Study of Human-AI Interaction,,,"International Conference on Multimodal Interaction (ICMI), pp. XXXX-XXXX",Preprint PDF | https://arxiv.org/abs/2607.14593,,,,,,,International Conference on Multimodal Interaction (ICMI),,,,,,
p0037,2026,,"Divesh Lala, Yogeeswaran Muthukumaran, Vincent Fernandes, Kazushi Kato, Shota Fujiki, Zihao Chi, Masaya Iwasaki, Taiken Shintani, Megumi Kawata, Kazuki Sakai, Koji Inoue, Yuichiro Yoshikawa, Tatsuya Kawahara",Human-robot Conversation with Multiple Participants in Noisy Public Spaces,,,"Extended Self II: AI Symbiosis, Agency, and Trust in Robotic Avatars, International Conference on Robot and Human Interactive Communication (RO-MAN)",Preprint PDF | https://arxiv.org/abs/2609.00648,,,,,,,,,,,,,
