id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0134,2026,,"下西慶, 井上昂治, 臼田泰如, 坂井田瑠衣",メタ対話における明示的な心情表現の抽出と予備的検討,,,"電子情報通信学会 ヒューマンコミュニケーション基礎研究会, HCS2026-45",Link | https://ken.ieice.org/ken/paper/202609103cxE/,,,,,,,,,,,,,
p0135,2026,,"田中 義規, 上原 隆一, 井上 昂治, 稲葉 通将",クライアントの心情文予測に基づくカウンセリング応答生成,,,"第40回 人工知能学会全国大会, 5K1-OS-48-05",Link | https://pub.confit.atlas.jp/ja/event/jsai2026/presentation/5K1-OS-48-05,,,,,,,,,,,,,
p0136,2026,,"下西 慶, 井上 昂治, 臼田 泰如, 坂井田 瑠衣",対話における心情理解に向けたメタ対話データセットの構築と予備的分析,,,"第40回 人工知能学会全国大会, 2K6-GS-7d-02",Link | https://pub.confit.atlas.jp/ja/event/jsai2026/presentation/2K6-GS-7d-02,,,,,,,,,,,,,
p0137,2026,,"田中 義規, 上原 隆一, 井上 昂治, 稲葉 通将",対話における心情記述: 自然言語による機微かつ複雑な心情理解のためのベンチマーク,,,"言語処理学会第32回年次大会, P3-17",Link | https://www.anlp.jp/proceedings/annual_meeting/2026/pdf_dir/P3-17.pdf,,,,,,,,,,,,,
p0138,2026,,"溝渕悠朔, 井上昂治, 井本桂右, 吉井和佳, 河原達也",音声対話における音源分離及びターンテイキング予測の同時最適化,,,"電子情報通信学会技術研究報告, EA2025-139, SIP2025-159, SP2025-92",Link | https://ken.ieice.org/ken/paper/20260304Gcti/,音声研究会学生ポスター賞,,,,,,,,,,,,
p0139,2026,,"井上昂治, 内田貴久, 河原達也, 石黒浩",LLMを用いた質的コーディングによる音声対話における沈黙の分類,,,"人工知能学会研究会資料, SLUD-106, pp. 88-93",Link | https://www.jstage.jst.go.jp/article/jsaislud/106/0/106_88/_article/-char/ja,,,,,,,,,,,,,
p0140,2026,,"森大河, 井上昂治, ララディベッシュ, 越智景子, 河原達也",マルチモーダル大規模言語モデルによる多人数会話の次話者予測の分析,,,"人工知能学会研究会資料, SLUD-106, pp. 82-87",Link | https://www.jstage.jst.go.jp/article/jsaislud/106/0/106_82/_article/-char/ja,,,,,,,,,,,,,
p0141,2026,,"坂井田瑠衣, 臼田泰如, 井上昂治, 下西慶",メタ対話にみる「心情」の表出：発話の意外性をめぐる交渉の会話分析,,,"人工知能学会研究会資料, SLUD-106, pp. 68-73",Link | https://www.jstage.jst.go.jp/article/jsaislud/106/0/106_68/_article/-char/ja/,,,,,,,,,,,,,
p0142,2025,,"井上昂治, Elmers Mikey, Fu Yahui, Pang Zi Haur, 森大河, Lala Divesh, 越智景子, 河原達也",マルチリンガル相槌予測モデルによる言語間分析,,,"人工知能学会研究会資料, SLUD-105-445",Link | https://www.jstage.jst.go.jp/article/jsaislud/105/0/105_174/_article/-char/ja,,,,,,,,,,,,,
p0143,2025,,"下西慶, 井上昂治, 臼田泰如, 坂井田瑠衣",メタ対話に基づく心情理解のためのデータ収録,,,"電子情報通信学会 ヒューマンコミュニケーション基礎研究会, HCS2025-38",Link | https://ken.ieice.org/ken/paper/20250820qcmA/,,,,,,,,,,,,,
p0144,2025,,"越智 景子, ララ ディベッシュ, 井上昂治, 河原達也, 熊崎博一","デイケア施設での多人数相互傾聴ロボット""きくロボ""による感情改善",,,"人工知能学会研究会資料, SLUD-103-43",Link | https://www.jstage.jst.go.jp/article/jsaislud/105/0/105_169/_article/-char/ja,,,,,,,,,,,,,
p0145,2025,,"井上昂治, Elmers Mikey, Fu Yahui, Pang Zi Haur, Lala Divesh, 越智景子, 河原達也",プロンプト制御可能なターンテイキング予測モデル,,,"人工知能学会研究会資料, SLUD-104-20",Link | https://www.jstage.jst.go.jp/article/jsaislud/104/0/104_104/_article/-char/ja,,,,,,,,,,,,,
p0146,2025,,"坂井田瑠衣, 井上昂治, 坂尾結衣, 中林由希子, 横森大輔, 高梨克也",マルチモーダルコーパスの移動場面に対する動作連鎖アノテーションの試み：未来館SCコーパスを対象に,,,"人工知能学会研究会資料, SLUD-103-35",Link | https://www.jstage.jst.go.jp/article/jsaislud/103/0/103_195/_article/-char/ja,,,,,,,,,,,,,
p0147,2025,,"井上昂治, Divesh Lala, Mikey Elmers, 越智景子, 河原達也",多人数対話における受話者推定のLLMによる試み,,,"人工知能学会研究会資料, SLUD-103-34",Link | https://www.jstage.jst.go.jp/article/jsaislud/103/0/103_189/_article/-char/ja,,,,,,,,,,,,,
p0148,2025,,"福重茜, 井上昂治, 河原達也, 山下紗苗, 東中竜一郎",多人数チャットコーパスにおける参加者間の関係性の推定,,,"人工知能学会研究会資料, SLUD-103-33",Link | https://www.jstage.jst.go.jp/article/jsaislud/103/0/103_183/_article/-char/ja,,,,,,,,,,,,,
p0149,2025,,"竹内一央, 井上昂治, 河原 達也",LLMによる対話における驚き反応の生成,,,"人工知能学会研究会資料, SLUD-103-32",Link | https://www.jstage.jst.go.jp/article/jsaislud/103/0/103_177/_article/-char/ja,,,,,,,,,,,,,
p0150,2025,,"加藤利梓, 井上昂治, 河原 達也",アバター傾聴対話システムにおける多様な頷きのリアルタイム予測,,,"人工知能学会研究会資料, SLUD-103-31",Link | https://www.jstage.jst.go.jp/article/jsaislud/103/0/103_171/_article/-char/ja,,,,,,,,,,,,,
