id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0249,2025,,"Casey Kennington, Koji Inoue, Randy Gomez, Peter Ford-Dominey",Editorial: Dialogue with robots: constructive approaches for understanding communication,,,Frontiers in Robotics and AI,Link | https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2025.1725162/full,,,,,,,,,,,,,
p0250,2025,,井上昂治,私のブックマーク：音声対話における非言語生成,,,"人工知能学会誌, Vol.40, No.5, pp.807-813",Link | https://www.ai-gakkai.or.jp/resource/my-bookmark/my-bookmark_vol40-no5/,,,,,,,人工知能学会誌,40,5,807-813,,,
p0251,2025,,"佐久間洋司, 井上昂治",「ほな行こか！大阪・関西万博！」「未来をつくる挑戦と若者の役割」—佐久間洋司氏インタビュー,,,"人工知能学会誌, Vol.40, No.4, pp.590-592",Link | https://www.jstage.jst.go.jp/article/jjsai/40/4/40_590/_article/-char/ja,,,,,,,人工知能学会誌,40,4,590-592,,,
p0252,2025,,"狩野芳伸, 佐久間洋司, 品川政太朗, 井上昂治",「ほな行こか！大阪・関西万博！」 〜万博連携セッション開催! 全国大会直前特集〜万博連携セッションと子ども教育企画のご紹介,,,"人工知能学会誌, Vol.40, No.3, pp.402-403",Link | https://www.jstage.jst.go.jp/article/jjsai/40/3/40_402/_article/-char/ja,,,,,,,人工知能学会誌,40,3,402-403,,,
p0253,2025,,"品川政太朗, 井上昂治, 佐久間洋司",「ほな行こか！大阪・関西万博！」 〜いよいよ迫る！万博直前特集〜 2025 年大阪・関西万博に役立つ基礎知識,,,"人工知能学会誌, Vol.40, No.2, pp.112-115",Link | https://www.jstage.jst.go.jp/article/jjsai/40/2/40_112/_article/-char/ja,,,,,,,人工知能学会誌,40,2,112-115,,,
p0254,2025,,"佐久間洋司, 品川政太朗, 井上昂治, 清田陽司, 本村陽一, 栗原聡",「ほな行こか！大阪・関西万博！」 〜いよいよ迫る！万博直前特集〜 未来世代学会タスクフォース —「大阪・関西万博」を未来の学会を考える機会に—,,,"人工知能学会誌, Vol.40, No.2, pp.108-111",Link | https://www.jstage.jst.go.jp/article/jjsai/40/2/40_108/_article/-char/ja,,,,,,,人工知能学会誌,40,2,108-111,,,
p0255,2024,,"山本祐輔, 山野泰子, 井上昂治, 榊剛史, 岩澤駿",表紙企画 人工知能をめぐる旅: JSAI 研究会の窓 ④—先進的学習科学と工学研究会（ALST）—,,,"人工知能学会誌, Vol.39, No.4, pp.577-579",Link | https://www.jstage.jst.go.jp/article/jjsai/39/4/39_577/_article/-char/ja/,,,,,,,人工知能学会誌,39,4,577-579,,,
p0256,2024,,"山野泰子, 井上昂治, 榊剛史, 山本祐輔, 岩澤駿",表紙企画 人工知能をめぐる旅: JSAI 研究会の窓 ③— 知識ベースシステム研究会（KBS）—,,,"人工知能学会誌, Vol.39, No.3, pp.435-437",Link | https://www.jstage.jst.go.jp/article/jjsai/39/3/39_435/_article/-char/ja/,,,,,,,人工知能学会誌,39,3,435-437,,,
p0257,2024,,"榊剛史, 山野泰子, 井上昂治, 山本祐輔, 岩澤駿",表紙企画 人工知能をめぐる旅: JSAI 研究会の窓 ②—人工知能基本問題研究会 (FPAI)—,,,"人工知能学会誌, Vol.39, No.2, pp.271-273",Link | https://www.jstage.jst.go.jp/article/jjsai/39/2/39_271/_article/-char/ja/,,,,,,,人工知能学会誌,39,2,271-273,,,
p0258,2024,,"井上昂治, 山野泰子, 榊剛史, 山本祐輔, 岩澤駿",表紙企画 人工知能をめぐる旅: JSAI 研究会の窓 ①—言語・音声理解と対話処理研究会 (SLUD)—,,,"人工知能学会誌, Vol.39, No.1, pp.86-89",Link | https://www.jstage.jst.go.jp/article/jjsai/39/1/39_86/_article/-char/ja/,,,,,,,人工知能学会誌,39,1,86-89,,,
p0259,2024,,井上昂治,特集：編集委員 今年の抱負2024「学会誌に表紙は必要か？」,,,"人工知能学会誌, Vol.39, No.1, pp.11",Link | https://www.jstage.jst.go.jp/article/jjsai/39/1/39_11/_article/-char/ja/,,,,,,,人工知能学会誌,39,1,11,,,
p0260,2023,,"榊剛史, 井上昂治, 山野泰子, 鳥海不二夫, 岩澤駿, 松原仁, 杉本舞, 谷口忠大",表紙企画 座談会：人工知能歴史絵巻の完成に際して,,,"人工知能学会誌, Vol.38, No.6, pp.980-989",Link | https://www.jstage.jst.go.jp/article/jjsai/38/6/38_980/_article/-char/ja,,,,,,,人工知能学会誌,38,6,980-989,,,
p0261,2023,,"山野泰子, 榊剛史, 井上昂治, 山本祐輔, 岩澤駿, 松原仁, 杉本舞, 谷口忠大",アーティクル：表紙企画 人工知能歴史絵巻：これまでのAI これからのAI ⑥ — 研究者が考える未来のAI：道は行くことでつくられる—,,,"人工知能学会誌, Vol.38, No.6, pp.975-979",Link | https://www.jstage.jst.go.jp/article/jjsai/38/6/38_975/_article/-char/ja,,,,,,,人工知能学会誌,38,6,975-979,,,
p0262,2023,,"井上昂治, 榊剛史, 山野泰子, 山本祐輔, 岩澤駿, 松原仁, 杉本舞, 谷口忠大",アーティクル：表紙企画 人工知能歴史絵巻：これまでのAI これからのAI ⑤ — そして生成AI ブームへAll You Need Is [MASK] —,,,"人工知能学会誌, Vol.38, No.5, pp.771-774",Link | https://www.jstage.jst.go.jp/article/jjsai/38/5/38_771/_article/-char/ja/,,,,,,,人工知能学会誌,38,5,771-774,,,
p0263,2023,,井上昂治,どうする対話研究,,,"日本バーチャルリアリティ学会誌, Vol.28, No.2, pp.33-34",Link | https://www.jstage.jst.go.jp/article/jvrsj/28/2/28_33/_article/-char/ja,,,,,,,日本バーチャルリアリティ学会誌,28,2,33-34,,,
p0264,2023,,井上昂治,"書評：セルジュ・ティスロン 著, 阿部又一郎 訳：ロボットに愛される日―AI 時代のメンタルヘルス",,,"人工知能学会誌, Vol.38, No.4, pp.593",Link | https://www.jstage.jst.go.jp/article/jjsai/38/4/38_593/_article/-char/ja/,,,,,,,人工知能学会誌,38,4,593,,,
p0265,2023,,"榊剛史, 井上昂治, 山野泰子, 岩澤駿, 松原仁, 杉本舞, 谷口忠大",アーティクル：表紙企画 人工知能歴史絵巻：これまでのAI これからのAI ④ ― ブームがやって来るヤァ！ヤァ！ヤァ！―,,,"人工知能学会誌, Vol.38, No.4, pp.595-598",Link | https://www.jstage.jst.go.jp/article/jjsai/38/4/38_595/_article/-char/ja/,,,,,,,人工知能学会誌,38,4,595-598,,,
p0266,2023,,"山野泰子, 井上昂治, 榊剛史, 岩澤駿, 松原仁, 杉本舞, 谷口忠大",アーティクル：表紙企画 人工知能歴史絵巻：これまでのAI これからのAI ③ —二度目の冬の蠢き—,,,"人工知能学会誌, Vol.38, No.3, pp.440-443",Link | https://www.jstage.jst.go.jp/article/jjsai/38/3/38_440/_article/-char/ja/,,,,,,,人工知能学会誌,38,3,440-443,,,
p0267,2023,,"井上昂治, 山野泰子, 榊剛史, 岩澤駿, 松原仁, 杉本舞, 谷口忠大",アーティクル：表紙企画 人工知能歴史絵巻：これまでのAI これからのAI ② —冬の時代から第二次ブームへ—,,,"人工知能学会誌, Vol.38, No.2, pp.298-301",Link | https://www.jstage.jst.go.jp/article/jjsai/38/2/38_298/_article/-char/ja/,,,,,,,人工知能学会誌,38,2,298-301,,,
p0268,2023,,"榊剛史,井上昂治, 山野泰子, 岩澤駿, 杉本舞, 松原仁, 谷口忠大",アーティクル：表紙企画 人工知能歴史絵巻：これまでのAI これからのAI —第三次AIブームを振り返って—,,,"人工知能学会誌, Vol.38, No.1, pp.92-95",Link | https://www.jstage.jst.go.jp/article/jjsai/38/1/38_92/_article/-char/ja/,,,,,,,人工知能学会誌,38,1,92-95,,,
p0269,2022,,"河原達也, 井上昂治",アンドロイドERICAによる人間レベルの音声対話への挑戦,,,"日本音響学会誌, Vol.78, No.5, pp.249-256",Link | https://www.jstage.jst.go.jp/article/jasj/78/5/78_249/_article/-char/ja/,,,,,,,日本音響学会誌,78,5,249-256,,,
p0270,2021,,"佐久間洋司, 井上昂治",人類の分断を克服し調和を実現するための科学技術に関する調査研究,,,"人工知能学会誌, Vol.36, No.6, pp.702-709",Link | https://www.jstage.jst.go.jp/article/jjsai/36/6/36_702/_article/-char/ja,,,,,,,人工知能学会誌,36,6,702-709,,,
p0271,2021,,"井上昂治, 岡田将吾",特集：「若手研究者による2050 年の未来予測～ムーンショット型研究開発 ミレニア・プログラムより～」にあたって,,,"人工知能学会誌, Vol.36, No.6, pp.672-673",Link | https://www.jstage.jst.go.jp/article/jjsai/36/6/36_672/_article/-char/ja,,,,,,,人工知能学会誌,36,6,672-673,,,
p0272,2021,,井上昂治,50年経っても読まれる論文を,,,"人工知能学会誌, Vol.36, No.3, pp.330",Link | https://www.jstage.jst.go.jp/article/jjsai/36/3/36_330/_article/-char/ja,,,,,,,人工知能学会誌,36,3,330,,,
p0273,2020,,"井上昂治, 河原達也",アンドロイドを用いた音声対話研究,,,"日本音響学会誌, Vol.76, No.4, pp.236-243",Link | https://www.jstage.jst.go.jp/article/jasj/76/4/76_236/_article/-char/ja/,,,,,,,日本音響学会誌,76,4,236-243,,,
