id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0274,2026,,"田中義規, 井上昂治, 稲葉通将",対話における話者本人の心情を第三者はどこまで推測できるか,,,"第21回言語処理若手シンポジウム(YANS2026), S2-P39",,,,,,,,,,,,,,
p0275,2026,,上田祥行，井上昂治，小森政嗣,心情認知とAI：人のこころの機微を捉え、表現する,,,"第40回 人工知能学会全国大会, オーガナイズドセッション",Link | https://pub.confit.atlas.jp/ja/event/jsai2026/presentation/5K1-OS-48-05,,,,,,,,,,,,,
p0276,2025,,井上昂治,生成AIによる感情認識・カウンセリング,,,"日本量子医科学会 第5回 学術大会, シンポジウム1 量子コンピューターと生成AI",Link | https://j-quams.org/meeting2025/index.html,,,,,,,,,,,,,
p0277,2025,10,井上昂治,空気を読むAI：非言語的ふるまいの理解・生成・変換,,,"日本薬物動態学会 第40回年会, 特別企画セッション「AI社会の近未来：知能とこころの調和」",Link | https://www.jssx40.org/program.html,,,,,,,,,,,,,
p0278,2023,9,"上田祥行, 井上昂治, 下西慶, 澤田玲子",ことばにならない気持ち、どうやって⾒つける？―⼼情認知学の創成―,,,京都大学アカデミックデイ2025,Link | https://ku.research.kyoto-u.ac.jp/academic-day/a2025/a2025-p064/,,,,,,,,,,,,,
p0279,2024,,"Mikey Elmers, Koji Inoue, Divesh Lala, Keiko Ochi, Tatsuya Kawahara",Analysis and Detection of Differences in Spoken User Behaviors between Autonomous and Wizard-of-Oz Systems,,,Workshop on Spoken Dialogue Systems for Cybernetic Avatars (SDS4CA),Link | http://www.sap.ist.i.kyoto-u.ac.jp/seminar/sds4ca/,,,,,,,,,,,,,
p0280,2024,,"Zi Haur Pang, Yahui Fu, Divesh Lala, Mikey Elmers, Koji Inoue, Tatsuya Kawahara",Embodied Autonomous Interview System with Attentive Listening Behavior,,,Workshop on Spoken Dialogue Systems for Cybernetic Avatars (SDS4CA),Link | http://www.sap.ist.i.kyoto-u.ac.jp/seminar/sds4ca/,,,,,,,,,,,,,
p0281,2024,2,"Yahui Fu, 井上昂治, Chenhui Chu, 河原達也",Reasoning before Responding: Integrating Commonsense-based Causality Explanation for Empathetic Response Generation,,,第18回京都大学ICTイノベーション,Link | https://ict-nw.i.kyoto-u.ac.jp/ict-innovation/18th/panel/1907/,優秀研究賞,,,,,,,,,,,,
p0282,2023,3,井上昂治,人を支える・人に共感する・人を超える対話システム,,,日本音響学会 学生・若手フォーラム ビギナーズセミナー in KANSAI ～すべての道は音声対話に通ず～(第33回関西支部談話会),Link | http://asj-fresh.acoustics.jp/event/2023-02-2965,,,,,,,,,,,,,
p0283,2021,,"Tatsuya Kawahara, Koji Inoue, Divesh Lala",Intelligent Conversational Android ERICA Applied to Attentive Listening and Job Interview,,,arXiv:2105.00403,Link | https://arxiv.org/abs/2105.00403,,,,,,,,,,,,,
p0284,2021,3,井上昂治,コロナ禍における多人数音声対話システムの被験者実験,,,電子情報通信学会 VNV研究会 第15回年次大会,,,,,,,,,,,,,,
p0285,2021,1,井上昂治,アンドロイドと音声対話システムの融合 -深層ヒューマンロボットインタラクションの実現に向けて-,,,日本ロボット学会ヒューロビント研究専門委員会 若手ロボティクス研究会,,,,,,,,,,,,,,
p0286,2020,12,"有本庸浩, 佐藤志貴, 井上昂治, 山本賢太, 赤間怜奈","国際会議報告（SIGDIAL, ACL, ICMI, Interspeech, EMNLP）",,,人工知能学会 言語・音声理解と対話処理研究会 (SLUD) 第90回研究会 (第11回対話システムシンポジウム),,,,,,,,,,,,,,
p0287,2020,8,井上昂治,アンドロイドERICAによる傾聴対話システム,,,第４回 JST ERATO石黒共生HRIプロジェクトシンポジウム,Link | https://sites.google.com/irl.sys.es.osaka-u.ac.jp/shri-symposium-2020/,,,,,,,,,,,,,
p0288,2020,2,"山本賢太, 井上昂治, 河原達也",多様な応答を生成する傾聴対話システム -ロボットがあなたの話を聴きます-,,,第14回京都大学ICTイノベーション,Link | http://ict-nw.i.kyoto-u.ac.jp/ict-innovation/14th/panel/panel.php?id=19,優秀研究賞,,,,,,,,,,,,
p0289,2019,9,井上昂治,博士の学位取得後の大学に就職するキャリア,,,IEEE 関西支部 Young Professionals 博士課程のキャリアについて語る会,,,,,,,,,,,,,,
p0290,2018,11,"石井亮, 井上昂治, 千葉祐弥, 角森唯子, 成松宏美, 福田悠人, 増村亮","国際会議報告（SIGDIAL, ACL, IJCAI-ECAI, COLING, Interspeech, ICMI, EMNLP, IVA, SEMDIAL）",,,人工知能学会 言語・音声理解と対話処理研究会 (SLUD) 第84回研究会 (第9回対話システムシンポジウム),PDF | https://github.com/jsai-slud/sig-slud/raw/master/material/84th/DSS9_conference_reports.pdf,,,,,,,,,,,,,
p0291,2018,8,井上昂治,対話におけるエンゲージメント推定,,,第２回 JST ERATO石黒共生HRIプロジェクトシンポジウム,Link | https://sites.google.com/view/erato-shri-symposium2018/,,,,,,,,,,,,,
p0292,2018,3,"井上昂治, 河原達也",会話エンゲージメントの自動認識 -相手が会話に興味があるかがわかります-,,,第12回京都大学ICTイノベーション,Link | http://ict-nw.i.kyoto-u.ac.jp/ict-innovation/12th/panel/panel.php?id=10,,,,,,,,,,,,,
p0293,2016,5,井上昂治,聞き手のふるまいに着目した対話エンゲージメントの分析と予測,,,電子情報通信学会第52回VNV研究会,,,,,,,,,,,,,,
p0294,2015,12,井上昂治,対話ロボットは空気を読めるか？,,,日本音響学会北陸支部第7回音響セミナー ビギナー成果発表会,Link | http://www.ais.jaist.ac.jp/asj-hokuriku/onkyo-seminar7th.html,,,,,,,,,,,,,
p0295,2015,12,"山口貴史, 井上昂治, 吉野幸一郎, 高梨克也, Nigel G. Ward, 河原達也",多様な形態の相槌をうつ傾聴対話システム,,,"第18回日本音響学会関西支部若手研究者交流研究発表会, 11",,優秀奨励賞,,,,,,,,,,,,
p0296,2015,7,井上昂治,ポスター会話における音響・視線情報を統合した話者区間及び相槌の検出,,,"第41回関西音声合同ゼミ, A-10",,,,,,,,,,,,,,
p0297,2015,4,Koji Inoue,Multi-modal conversational analysis in poster sessions,,,Multi-modal Interaction Workshop,Link | http://www.ii.ist.i.kyoto-u.ac.jp/?p=5616,,,,,,,,,,,,,
p0298,2015,3,"井上昂治, 吉本廣雅, 河原達也",スマートポスターボード -聴衆の反応のセンシング-,,,第9回京都大学ICTイノベーション,Link | http://ict-nw.i.kyoto-u.ac.jp/ict-innovation/2015/panel/panel.php?id=1,,,,,,,,,,,,,
p0299,2014,12,"井上昂治, 若林佑幸, 吉本廣雅, 河原達也",多人数会話における視線情報を用いた話者区間検出,,,"第17回日本音響学会関西支部若手研究者交流研究発表会, 10",Link | http://asj-kansai.acoustics.jp/event/wakate_2014_report.html,優秀奨励賞,,,,,,,,,,,,
p0300,2014,12,"若林佑幸, 中山雅人, 西浦敬信, 井上昂治, 吉本廣雅, 河原達也",マルチモーダル話者ダイアライゼーション ～Who speaks when?～,,,"第17回日本音響学会関西支部若手研究者交流研究発表会, 12",,,,,,,,,,,,,,
p0301,2014,7,井上昂治,多人数会話における視線情報を用いた話者区間検出,,,"第39回関西音声合同ゼミ, B.3",Link | http://www.aspl.is.ritsumei.ac.jp/kansai/2014/index.html#presen_program,,,,,,,,,,,,,
p0302,2013,12,"井上昂治, 河原達也",スマートポスターボード -聴衆の反応のセンシング-,,,第8回京都大学ICTイノベーション,,,,,,,,,,,,,,
